pot,species,aphid,CO2,Sample,Content,Cq,Starting Quantity (SQ),Cq Mean,
1,foxtail barley,Ctrl,Ambient,9,Unkn,32.96832962,8.14E-07,32.96832962,
1,foxtail barley,Ctrl,Ambient,9,Unkn,32.58634437,1.06E-06,32.58634437,
2,foxtail barley,Ctrl,Ambient,10,Unkn,35.04751633,1.94E-07,35.04751633,
2,foxtail barley,Ctrl,Ambient,10,Unkn,37.4435378,3.70E-08,37.4435378,
3,foxtail barley,Ctrl,Ambient,11,Unkn,34.85066456,2.22E-07,34.85066456,
3,foxtail barley,Ctrl,Ambient,11,Unkn,35.50412392,1.41E-07,35.50412392,
21,green foxtail,Ctrl,Ambient,12,Unkn,34.47021056,2.89E-07,34.47021056,
21,green foxtail,Ctrl,Ambient,12,Unkn,33.9829345,4.04E-07,33.9829345,
22,green foxtail,Ctrl,Ambient,13,Unkn,34.2759308,3.30E-07,34.2759308,
22,green foxtail,Ctrl,Ambient,13,Unkn,33.45220235,5.83E-07,33.45220235,
41,winter wheat,Ctrl,Ambient,14,Unkn,33.78488185,4.63E-07,33.78488185,
41,winter wheat,Ctrl,Ambient,14,Unkn,32.93904044,8.31E-07,32.93904044,
42,winter wheat,Ctrl,Ambient,15,Unkn,32.95869946,8.20E-07,32.95869946,
42,winter wheat,Ctrl,Ambient,15,Unkn,34.2708308,3.31E-07,34.2708308,
43,winter wheat,Ctrl,Ambient,16,Unkn,34.15506687,3.59E-07,34.15506687,
43,winter wheat,Ctrl,Ambient,16,Unkn,33.33304165,6.33E-07,33.33304165,
2,foxtail barley,Ctrl,Elevated,1,Unkn,29.23681941,1.07E-05,29.23681941,
2,foxtail barley,Ctrl,Elevated,1,Unkn,29.39043668,9.65E-06,29.39043668,
3,foxtail barley,Ctrl,Elevated,2,Unkn,34.84059235,2.23E-07,34.84059235,
3,foxtail barley,Ctrl,Elevated,2,Unkn,35.10582405,1.86E-07,35.10582405,
21,green foxtail,Ctrl,Elevated,3,Unkn,33.86774801,4.37E-07,33.86774801,
21,green foxtail,Ctrl,Elevated,3,Unkn,33.03452829,7.78E-07,33.03452829,
22,green foxtail,Ctrl,Elevated,4,Unkn,32.88663716,8.62E-07,32.88663716,
22,green foxtail,Ctrl,Elevated,4,Unkn,32.76899782,9.35E-07,32.76899782,
23,green foxtail,Ctrl,Elevated,5,Unkn,33.18545496,7.01E-07,33.18545496,
23,green foxtail,Ctrl,Elevated,5,Unkn,34.31731865,3.21E-07,34.31731865,
41,winter wheat,Ctrl,Elevated,6,Unkn,31.60647371,2.09E-06,31.60647371,
41,winter wheat,Ctrl,Elevated,6,Unkn,31.36259769,2.47E-06,31.36259769,
42,winter wheat,Ctrl,Elevated,7,Unkn,35.06892186,1.91E-07,35.06892186,
42,winter wheat,Ctrl,Elevated,7,Unkn,33.37134281,6.16E-07,33.37134281,
43,winter wheat,Ctrl,Elevated,8,Unkn,33.18867152,6.99E-07,33.18867152,
43,winter wheat,Ctrl,Elevated,8,Unkn,33.11541408,7.36E-07,33.11541408,
51,winter wheat,infested,Ambient,1,Unkn,31.12664992,2.40E-06,31.12664992,
52,winter wheat,infested,Ambient,1,Unkn,31.76635492,1.54E-06,31.76635492,
52,winter wheat,infested,Ambient,2,Unkn,34.22912251,2.78E-07,34.22912251,
52,winter wheat,infested,Ambient,2,Unkn,34.56520685,2.20E-07,34.56520685,
53,winter wheat,infested,Ambient,3,Unkn,12.82372695,0.792643549,12.82372695,
53,winter wheat,infested,Ambient,3,Unkn,12.67512895,0.878800928,12.67512895,
54,winter wheat,infested,Ambient,4,Unkn,18.72035696,0.013207968,18.72035696,
54,winter wheat,infested,Ambient,4,Unkn,18.69830111,0.01341181,18.69830111,
55,winter wheat,infested,Ambient,5,Unkn,14.22998487,0.298534049,14.22998487,
55,winter wheat,infested,Ambient,5,Unkn,14.18364652,0.308296141,14.18364652,
16,foxtail barley,infested,Ambient,21,Unkn,26.50703668,5.92E-05,26.50703668,
16,foxtail barley,infested,Ambient,21,Unkn,26.35714768,6.57E-05,26.35714768,
17,foxtail barley,infested,Ambient,22,Unkn,33.04978897,6.30E-07,33.04978897,
17,foxtail barley,infested,Ambient,22,Unkn,34.80394021,1.86E-07,34.80394021,
18,foxtail barley,infested,Ambient,23,Unkn,34.45582233,2.37E-07,34.45582233,
18,foxtail barley,infested,Ambient,23,Unkn,34.73938699,1.95E-07,34.73938699,
19,foxtail barley,infested,Ambient,24,Unkn,32.95658177,6.72E-07,32.95658177,
19,foxtail barley,infested,Ambient,24,Unkn,32.32446962,1.04E-06,32.32446962,
20,foxtail barley,infested,Ambient,25,Unkn,34.63696182,2.09E-07,34.63696182,
20,foxtail barley,infested,Ambient,25,Unkn,35.22949798,1.39E-07,35.22949798,
36,green foxtail,infested,Ambient,26,Unkn,33.24477236,5.50E-07,33.24477236,
36,green foxtail,infested,Ambient,26,Unkn,32.6781578,8.16E-07,32.6781578,
37,green foxtail,infested,Ambient,27,Unkn,33.41156711,4.90E-07,33.41156711,
37,green foxtail,infested,Ambient,27,Unkn,33.61506639,4.26E-07,33.61506639,
38,green foxtail,infested,Ambient,28,Unkn,34.8761143,1.77E-07,34.8761143,
38,green foxtail,infested,Ambient,28,Unkn,33.36638584,5.06E-07,33.36638584,
39,green foxtail,infested,Ambient,29,Unkn,32.60134785,8.61E-07,32.60134785,
39,green foxtail,infested,Ambient,29,Unkn,32.17977793,1.15E-06,32.17977793,
40,green foxtail,infested,Ambient,30,Unkn,32.87780408,7.10E-07,32.87780408,
40,green foxtail,infested,Ambient,30,Unkn,32.43792231,9.64E-07,32.43792231,
56,winter wheat,infested,Ambient,17,Unkn,15.51545884,0.140498762,15.51545884,
56,winter wheat,infested,Ambient,17,Unkn,15.59792954,0.132716988,15.59792954,
57,winter wheat,infested,Ambient,18,Unkn,12.59757519,1.054887758,12.59757519,
57,winter wheat,infested,Ambient,18,Unkn,12.77464726,0.933414186,12.77464726,
58,winter wheat,infested,Ambient,19,Unkn,31.57838319,2.13E-06,31.57838319,
58,winter wheat,infested,Ambient,19,Unkn,31.39598915,2.41E-06,31.39598915,
59,winter wheat,infested,Ambient,20,Unkn,30.5128411,4.44E-06,30.5128411,
59,winter wheat,infested,Ambient,20,Unkn,30.24706006,5.34E-06,30.24706006,
60,winter wheat,infested,Ambient,21,Unkn,33.76683601,4.69E-07,33.76683601,
60,winter wheat,infested,Ambient,21,Unkn,33.54657803,5.46E-07,33.54657803,
11,foxtail barley,infested,Ambient,15,Unkn,39.9566663,8.67E-09,39.9566663,
11,foxtail barley,infested,Ambient,15,Unkn,33.95329467,4.92E-07,33.95329467,
12,foxtail barley,infested,Ambient,16,Unkn,34.16489287,4.27E-07,34.16489287,
12,foxtail barley,infested,Ambient,16,Unkn,34.81948865,2.75E-07,34.81948865,
13,foxtail barley,infested,Ambient,17,Unkn,36.04268322,1.21E-07,36.04268322,
13,foxtail barley,infested,Ambient,17,Unkn,34.24113453,4.05E-07,34.24113453,
14,foxtail barley,infested,Ambient,18,Unkn,28.73369344,1.65E-05,28.73369344,
14,foxtail barley,infested,Ambient,18,Unkn,28.61320888,1.79E-05,28.61320888,
15,foxtail barley,infested,Ambient,19,Unkn,33.23236373,7.99E-07,33.23236373,
15,foxtail barley,infested,Ambient,19,Unkn,32.83989191,1.04E-06,32.83989191,
31,green foxtail,infested,Ambient,20,Unkn,32.51804653,1.29E-06,32.51804653,
31,green foxtail,infested,Ambient,20,Unkn,33.52311963,6.57E-07,33.52311963,
32,green foxtail,infested,Ambient,21,Unkn,32.61535311,1.21E-06,32.61535311,
32,green foxtail,infested,Ambient,21,Unkn,32.82731583,1.05E-06,32.82731583,
33,green foxtail,infested,Ambient,22,Unkn,33.70677635,5.81E-07,33.70677635,
33,green foxtail,infested,Ambient,22,Unkn,33.76743398,5.58E-07,33.76743398,
34,green foxtail,infested,Ambient,23,Unkn,32.09571913,1.72E-06,32.09571913,
34,green foxtail,infested,Ambient,23,Unkn,32.21853045,1.58E-06,32.21853045,
35,green foxtail,infested,Ambient,24,Unkn,27.08377431,5.00E-05,27.08377431,
35,green foxtail,infested,Ambient,24,Unkn,28.32488973,2.17E-05,28.32488973,
16,foxtail barley,infested,Elevated,6,Unkn,38.96477863,1.04E-08,38.96477863,
16,foxtail barley,infested,Elevated,6,Unkn,35.46484735,1.18E-07,35.46484735,
17,foxtail barley,infested,Elevated,7,Unkn,NaN,NaN,0,
17,foxtail barley,infested,Elevated,7,Unkn,NaN,NaN,0,
18,foxtail barley,infested,Elevated,8,Unkn,36.42663861,6.04E-08,36.42663861,
18,foxtail barley,infested,Elevated,8,Unkn,NaN,NaN,0,
19,foxtail barley,infested,Elevated,9,Unkn,35.3037808,1.32E-07,35.3037808,
19,foxtail barley,infested,Elevated,9,Unkn,34.29033675,2.66E-07,34.29033675,
20,foxtail barley,infested,Elevated,10,Unkn,NaN,NaN,0,
20,foxtail barley,infested,Elevated,10,Unkn,NaN,NaN,0,
36,green foxtail,infested,Elevated,11,Unkn,36.23107148,6.92E-08,36.23107148,
36,green foxtail,infested,Elevated,11,Unkn,34.98501741,1.64E-07,34.98501741,
37,green foxtail,infested,Elevated,12,Unkn,36.96971522,4.14E-08,36.96971522,
37,green foxtail,infested,Elevated,12,Unkn,36.09996242,7.58E-08,36.09996242,
38,green foxtail,infested,Elevated,13,Unkn,36.05563753,7.82E-08,36.05563753,
38,green foxtail,infested,Elevated,13,Unkn,NaN,NaN,0,
39,green foxtail,infested,Elevated,14,Unkn,35.95829496,8.36E-08,35.95829496,
39,green foxtail,infested,Elevated,14,Unkn,37.01114139,4.03E-08,37.01114139,
40,green foxtail,infested,Elevated,15,Unkn,33.58889371,4.33E-07,33.58889371,
40,green foxtail,infested,Elevated,15,Unkn,33.56335646,4.41E-07,33.56335646,
56,winter wheat,infested,Elevated,16,Unkn,29.47965551,7.52E-06,29.47965551,
56,winter wheat,infested,Elevated,16,Unkn,29.25201669,8.81E-06,29.25201669,
57,winter wheat,infested,Elevated,17,Unkn,29.37982817,8.06E-06,29.37982817,
57,winter wheat,infested,Elevated,17,Unkn,29.25166036,8.81E-06,29.25166036,
58,winter wheat,infested,Elevated,18,Unkn,28.12364115,1.93E-05,28.12364115,
58,winter wheat,infested,Elevated,18,Unkn,28.11511196,1.94E-05,28.11511196,
59,winter wheat,infested,Elevated,19,Unkn,18.83722299,0.012178473,18.83722299,
59,winter wheat,infested,Elevated,19,Unkn,18.71051902,0.013298505,18.71051902,
60,winter wheat,infested,Elevated,20,Unkn,30.45329689,3.82E-06,30.45329689,
60,winter wheat,infested,Elevated,20,Unkn,30.26750937,4.35E-06,30.26750937,
11,foxtail barley,infested,Elevated,1,Unkn,NaN,NaN,0,
11,foxtail barley,infested,Elevated,1,Unkn,36.18818813,1.09E-07,36.18818813,
12,foxtail barley,infested,Elevated,2,Unkn,NaN,NaN,0,
12,foxtail barley,infested,Elevated,2,Unkn,NaN,NaN,0,
13,foxtail barley,infested,Elevated,3,Unkn,35.9816347,1.26E-07,35.9816347,
13,foxtail barley,infested,Elevated,3,Unkn,35.09820768,2.28E-07,35.09820768,
14,foxtail barley,infested,Elevated,4,Unkn,34.49861556,3.41E-07,34.49861556,
14,foxtail barley,infested,Elevated,4,Unkn,NaN,NaN,0,
15,foxtail barley,infested,Elevated,5,Unkn,36.06197442,1.19E-07,36.06197442,
15,foxtail barley,infested,Elevated,5,Unkn,35.06286787,2.33E-07,35.06286787,
32,green foxtail,infested,Elevated,6,Unkn,37.82621603,3.64E-08,37.82621603,
32,green foxtail,infested,Elevated,6,Unkn,36.11597416,1.15E-07,36.11597416,
33,green foxtail,infested,Elevated,7,Unkn,36.88291459,6.86E-08,36.88291459,
33,green foxtail,infested,Elevated,7,Unkn,34.17812515,4.23E-07,34.17812515,
34,green foxtail,infested,Elevated,8,Unkn,33.11565874,8.64E-07,33.11565874,
34,green foxtail,infested,Elevated,8,Unkn,34.01257338,4.73E-07,34.01257338,
35,green foxtail,infested,Elevated,9,Unkn,35.00656428,2.42E-07,35.00656428,
35,green foxtail,infested,Elevated,9,Unkn,35.77684147,1.44E-07,35.77684147,
51,winter wheat,infested,Elevated,10,Unkn,14.48365924,0.239572591,14.48365924,
51,winter wheat,infested,Elevated,10,Unkn,14.71518347,0.205023715,14.71518347,
52,winter wheat,infested,Elevated,11,Unkn,13.77189527,0.386685739,13.77189527,
52,winter wheat,infested,Elevated,11,Unkn,13.76009997,0.389765868,13.76009997,
53,winter wheat,infested,Elevated,12,Unkn,15.18388324,0.149584698,15.18388324,
53,winter wheat,infested,Elevated,12,Unkn,14.83563974,0.189067257,14.83563974,
54,winter wheat,infested,Elevated,13,Unkn,33.19180876,8.21E-07,33.19180876,
54,winter wheat,infested,Elevated,13,Unkn,33.55678836,6.42E-07,33.55678836,
55,winter wheat,infested,Elevated,14,Unkn,31.10274589,3.35E-06,31.10274589,
55,winter wheat,infested,Elevated,14,Unkn,30.84901367,3.97E-06,30.84901367,
,,,,ST1,Std-2,12.51591932,1,12.49621897,
,,,,ST1,Std-2,12.47651862,1,12.49621897,
,,,,St2,Std,15.52270249,0.1,15.52270249,
,,,,St2,Std,15.52569194,0.1,15.52569194,
,,,,ST3,Std,19.05151184,0.01,19.05151184,
,,,,ST3,Std,19.08756666,0.01,19.08756666,
,,,,ST4,Std,22.73081481,0.001,22.73081481,
,,,,ST4,Std,22.64272488,0.001,22.64272488,
,,,,ST5,Std,26.04014854,0.0001,26.04014854,
,,,,ST5,Std,25.90021694,0.0001,25.90021694,
,,,,ST6,Std,29.51183188,1.00E-05,29.51183188,
,,,,ST6,Std,29.51289719,1.00E-05,29.51289719,
,,,,ST7,Std,31.38648862,1.00E-06,31.38648862,
,,,,ST7,Std,32.09465068,1.00E-06,32.09465068,
,,,,ST8,Std,34.7307874,1.00E-07,34.7307874,
,,,,ST8,Std,36.79002076,1.00E-07,36.79002076,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
